job_title,company_name,company_address,estimated_salary_usd,work_hour,city,state,zipcode,work_type,latitude,longitude
"Data Collection Engineer, Mid",Booz Allen Hamilton,"Hybrid remote in Quantico, VA", 101K - 128K a year,unknown,Quantico,VA,unknown,Hybrid remote,38.5228755,-77.29018630447861
SAP Data Engineer,Wilson Sporting Goods Co.,"Chicago, IL 60601 (The Loop area)", 97K - 123K a year,unknown,Chicago,IL,60601,On site,41.8755616,-87.6244212
Azure Data Engineer,NFF Inc,"Washington, DC 20005 (Downtown area)", 103K - 131K a year,full-time,"Washington, DC",DC,20005,On site,38.8950368,-77.0365427
Data Engineer II (Weekly Hybrid schedule Office/Home),CHAS Health,"Spokane, WA 99202 (East Central area)",35.19 - 53.22 an hour,full-time,Spokane,WA,99202,On site,47.6571934,-117.42351
Data Engineer,Western Asset,"Pasadena, CA 91101 (Pasadena area)","150,000 - 200,000 a year",full-time,Pasadena,CA,91101,On site,34.1476452,-118.1444779
Data Pipeline Engineer,iSpecimen,"Lexington, MA 02420", 110K - 140K a year,unknown,Lexington,MA,02420,On site,38.0464066,-84.4970393
Senior Data Engineer,dMetrics,"Brooklyn, NY 11211", 128K - 163K a year,unknown,Brooklyn,NY,11211,On site,40.6526006,-73.9497211
"Data Analytics and Reporting Engineer, Digital Platform Solutions (Reporting and Analytics)",Mayor's Office of Contract Services,"Manhattan, NY 10007 (Financial District area)","75,000 - 90,000 a year",unknown,Manhattan,NY,10007,On site,40.7896239,-73.9598939
Senior Data Integration Engineer,Cambium Learning Group,Remote, 87.3K - 111K a year,full-time,unknown,unknown,unknown,On site,unknown,unknown
Data Engineer,Beshton Software,"San Francisco Bay Area, CA", 110K - 139K a year,unknown,San Francisco Bay Area,CA,unknown,On site,37.7884969,-122.3558473
Senior Data Engineer I,GoodRx,"Hybrid remote in New York, NY", 120K - 153K a year,full-time,New York,NY,unknown,Hybrid remote,40.7127281,-74.0060152
Sr Data Engineer,GE Healthcare,Remote in Illinois, 120K - 152K a year,unknown,unknown,IL,unknown,Remote,unknown,unknown
Biomedical Data Engineer - Health Technologies,Apple,"Cupertino, CA",unknown,full-time,Cupertino,CA,unknown,On site,37.3228934,-122.0322895
Data Engineer (Remote),Supernova XYZ,Remote, 112K - 142K a year,unknown,unknown,unknown,unknown,On site,unknown,unknown
"Senior Software Engineer, Data Platform",Salesforce,"Bellevue, WA 98004 (Downtown area)","133,400 - 183,400 a year",full-time,Bellevue,WA,98004,On site,47.6144219,-122.192337
Software Development Engineer - Big Data Service,Workday,"Boston, MA 02110 (Downtown area)","124,300 - 186,500 a year",full-time,Boston,MA,02110,On site,42.3554334,-71.060511
Data Engineer,Chirality Research,"Houston, TX", 94.4K - 120K a year,full-time,Houston,TX,unknown,On site,29.7589382,-95.3676974
Senior Data Platform Engineer,Tala,Remote,"145,000 - 190,000 a year",full-time,unknown,unknown,unknown,On site,unknown,unknown
Data Engineer/Data Analyst,Tetra Tech,"Arlington, VA", 84.7K - 107K a year,full-time,Arlington,VA,unknown,On site,32.7355816,-97.1071186
Real-Time Data Engineer,Object Partners,"Des Moines, IA", 103K - 131K a year,full-time,Des Moines,IA,unknown,On site,41.5910323,-93.6046655
Principal Data Engineer,DDI,Hybrid remote in Pennsylvania, 115K - 146K a year,full-time,unknown,PA,unknown,Hybrid remote,unknown,unknown
Data Engineer,Coherent Corp.,"Pine Brook, NJ 07058", 87.3K - 111K a year,full-time,Pine Brook,NJ,07058,On site,40.2806668,-74.0954182
Data Quality Engineer,RiseIT Solutions,"Orlando, FL","120,000 a year",unknown,Orlando,FL,unknown,On site,28.5421109,-81.3790304
Data Engineer,Logikcull,Remote, 104K - 132K a year,full-time,unknown,unknown,unknown,On site,unknown,unknown
Senior Operations Engineer (Data Engineer),BECU,Texas,"130,200 - 159,200 a year",full-time,unknown,unknown,unknown,On site,unknown,unknown
Senior Analytics Engineer- Data Modeling and Analysis,Cornerstone Information System,"Bloomington, IN 47404", 105K - 133K a year,unknown,Bloomington,IN,47404,On site,39.1670396,-86.5342881
Informatica Cloud Data Engineer,Intone Networks,Remote, 109K - 138K a year,contract,unknown,unknown,unknown,On site,unknown,unknown
Data Products Engineer,Biofire Technologies,"Broomfield, CO","120,000 - 150,000 a year",full-time,Broomfield,CO,unknown,On site,39.9403995,-105.05208
Customer Delivery Consulting Engineer - Data Center,Cisco Systems,"Boise, ID", 107K - 136K a year,full-time,Boise,ID,unknown,On site,43.6008183,-116.24210864118032
